"","Date","Number of beneficiairies","ei_regular_beneficiairies","ei_newclaim"
"1",2019-01-01,NA,NA,NA
"2",2019-02-01,NA,NA,NA
"3",2019-03-01,NA,NA,NA
"4",2019-04-01,NA,NA,NA
"5",2019-05-01,NA,NA,NA
"6",2019-06-01,NA,NA,NA
"7",2019-07-01,NA,NA,NA
"8",2019-08-01,NA,NA,NA
"9",2019-09-01,NA,NA,NA
"10",2019-10-01,NA,NA,NA
"11",2019-11-01,NA,NA,NA
"12",2019-12-01,NA,NA,NA
"13",2020-01-01,NA,NA,NA
"14",2020-02-01,NA,NA,NA
"15",2020-03-01,NA,NA,NA
"16",2020-04-01,NA,NA,NA
"17",2020-05-01,NA,NA,NA
"18",2020-06-01,NA,NA,NA
"19",2020-07-01,NA,NA,NA
"20",2020-08-01,NA,NA,NA
"21",2020-09-01,NA,NA,NA
"22",2020-10-01,NA,NA,NA
"23",2020-11-01,NA,NA,NA
"24",2020-12-01,NA,NA,NA
"25",2021-01-01,NA,NA,NA
"26",2021-02-01,NA,NA,NA
"27",2021-03-01,NA,NA,NA
"28",2021-04-01,NA,NA,NA
"29",2021-05-01,NA,NA,NA
"30",2021-06-01,NA,NA,NA
"31",2021-07-01,NA,NA,NA
"32",2021-08-01,NA,NA,NA
"33",2021-09-01,NA,NA,NA
"34",2021-10-01,NA,NA,NA
"35",2021-11-01,NA,NA,NA
"36",2021-12-01,NA,NA,NA
"37",2022-01-01,NA,NA,NA
"38",2022-02-01,NA,NA,NA
"39",2022-03-01,NA,NA,NA
"40",2022-04-01,NA,NA,NA
"41",2022-05-01,NA,NA,NA
"42",2022-06-01,NA,NA,NA
"43",2022-07-01,NA,NA,NA
"44",2022-08-01,NA,NA,NA
"45",2022-09-01,NA,NA,NA
"46",2022-10-01,NA,NA,NA
"47",2022-11-01,NA,NA,NA
"48",2022-01-09,"R","579,510","77,240"
