"","date","Recession"
"1",2022-02-06,7
"2",2022-02-13,7
"3",2022-02-20,10
"4",2022-02-27,10
"5",2022-03-06,18
"6",2022-03-13,18
"7",2022-03-20,13
"8",2022-03-27,14
"9",2022-04-03,18
"10",2022-04-10,18
"11",2022-04-17,19
"12",2022-04-24,24
"13",2022-05-01,22
"14",2022-05-08,32
"15",2022-05-15,42
"16",2022-05-22,23
"17",2022-05-29,21
"18",2022-06-05,42
"19",2022-06-12,100
"20",2022-06-19,62
"21",2022-06-26,34
"22",2022-07-03,76
"23",2022-07-10,52
"24",2022-07-17,34
"25",2022-07-24,55
"26",2022-07-31,35
"27",2022-08-07,23
"28",2022-08-14,24
"29",2022-08-21,17
"30",2022-08-28,19
"31",2022-09-04,17
"32",2022-09-11,25
"33",2022-09-18,35
"34",2022-09-25,41
"35",2022-10-02,39
"36",2022-10-09,62
"37",2022-10-16,60
"38",2022-10-23,54
"39",2022-10-30,48
"40",2022-11-06,35
"41",2022-11-13,33
"42",2022-11-20,30
"43",2022-11-27,25
"44",2022-12-04,32
"45",2022-12-11,23
"46",2022-12-18,21
"47",2022-12-25,19
"48",2023-01-01,26
"49",2023-01-08,28
"50",2023-01-15,33
"51",2023-01-22,32
