"","date","Unemployment"
"1",2022-02-06,79
"2",2022-02-13,95
"3",2022-02-20,83
"4",2022-02-27,95
"5",2022-03-06,89
"6",2022-03-13,75
"7",2022-03-20,85
"8",2022-03-27,93
"9",2022-04-03,100
"10",2022-04-10,78
"11",2022-04-17,93
"12",2022-04-24,72
"13",2022-05-01,80
"14",2022-05-08,66
"15",2022-05-15,68
"16",2022-05-22,59
"17",2022-05-29,68
"18",2022-06-05,73
"19",2022-06-12,73
"20",2022-06-19,77
"21",2022-06-26,71
"22",2022-07-03,82
"23",2022-07-10,77
"24",2022-07-17,54
"25",2022-07-24,62
"26",2022-07-31,73
"27",2022-08-07,70
"28",2022-08-14,67
"29",2022-08-21,63
"30",2022-08-28,62
"31",2022-09-04,64
"32",2022-09-11,67
"33",2022-09-18,70
"34",2022-09-25,77
"35",2022-10-02,89
"36",2022-10-09,67
"37",2022-10-16,75
"38",2022-10-23,80
"39",2022-10-30,87
"40",2022-11-06,68
"41",2022-11-13,72
"42",2022-11-20,74
"43",2022-11-27,77
"44",2022-12-04,77
"45",2022-12-11,79
"46",2022-12-18,54
"47",2022-12-25,47
"48",2023-01-01,63
"49",2023-01-08,78
"50",2023-01-15,92
"51",2023-01-22,91
