"","date","Recession","Unemployment","Inflation"
"1",2022-01-30,6,90,42
"2",2022-02-06,8,83,57
"3",2022-02-13,7,96,67
"4",2022-02-20,10,82,50
"5",2022-02-27,10,95,49
"6",2022-03-06,18,89,63
"7",2022-03-13,17,75,61
"8",2022-03-20,13,86,63
"9",2022-03-27,14,94,53
"10",2022-04-03,18,100,51
"11",2022-04-10,17,78,64
"12",2022-04-17,19,91,75
"13",2022-04-24,24,71,45
"14",2022-05-01,21,80,52
"15",2022-05-08,33,67,68
"16",2022-05-15,43,66,68
"17",2022-05-22,24,57,46
"18",2022-05-29,21,69,61
"19",2022-06-05,42,76,82
"20",2022-06-12,100,72,95
"21",2022-06-19,62,81,100
"22",2022-06-26,34,70,48
"23",2022-07-03,76,83,51
"24",2022-07-10,52,80,85
"25",2022-07-17,34,58,79
"26",2022-07-24,54,67,53
"27",2022-07-31,35,74,49
"28",2022-08-07,23,70,75
"29",2022-08-14,24,68,62
"30",2022-08-21,17,66,53
"31",2022-08-28,19,63,47
"32",2022-09-04,17,66,53
"33",2022-09-11,25,69,79
"34",2022-09-18,35,69,69
"35",2022-09-25,41,77,60
"36",2022-10-02,38,90,60
"37",2022-10-09,62,66,77
"38",2022-10-16,60,76,76
"39",2022-10-23,53,79,64
"40",2022-10-30,48,85,62
"41",2022-11-06,35,68,76
"42",2022-11-13,33,73,66
"43",2022-11-20,30,76,61
"44",2022-11-27,25,80,65
"45",2022-12-04,32,79,79
"46",2022-12-11,24,80,68
"47",2022-12-18,21,56,50
"48",2022-12-25,19,48,40
"49",2023-01-01,26,66,48
"50",2023-01-08,28,78,73
"51",2023-01-15,33,92,76
"52",2023-01-22,30,64,61
