"","date","Inflation"
"1",2022-01-30,42
"2",2022-02-06,58
"3",2022-02-13,67
"4",2022-02-20,50
"5",2022-02-27,50
"6",2022-03-06,64
"7",2022-03-13,61
"8",2022-03-20,64
"9",2022-03-27,54
"10",2022-04-03,51
"11",2022-04-10,64
"12",2022-04-17,76
"13",2022-04-24,45
"14",2022-05-01,52
"15",2022-05-08,68
"16",2022-05-15,68
"17",2022-05-22,47
"18",2022-05-29,62
"19",2022-06-05,81
"20",2022-06-12,95
"21",2022-06-19,100
"22",2022-06-26,48
"23",2022-07-03,51
"24",2022-07-10,86
"25",2022-07-17,80
"26",2022-07-24,54
"27",2022-07-31,49
"28",2022-08-07,75
"29",2022-08-14,63
"30",2022-08-21,53
"31",2022-08-28,47
"32",2022-09-04,53
"33",2022-09-11,80
"34",2022-09-18,69
"35",2022-09-25,60
"36",2022-10-02,61
"37",2022-10-09,78
"38",2022-10-16,76
"39",2022-10-23,64
"40",2022-10-30,62
"41",2022-11-06,77
"42",2022-11-13,66
"43",2022-11-20,62
"44",2022-11-27,65
"45",2022-12-04,80
"46",2022-12-11,68
"47",2022-12-18,50
"48",2022-12-25,41
"49",2023-01-01,48
"50",2023-01-08,73
"51",2023-01-15,76
"52",2023-01-22,58
