"","Date","WEI"
"1","08/13/2022",3.06
"2","08/20/2022",2.93
"3","08/27/2022",2.62
"4","09/03/2022",2.9
"5","09/10/2022",2.7
"6","09/17/2022",1.89
"7","09/24/2022",2.81
"8","10/01/2022",2.29
"9","10/08/2022",1.9
"10","10/15/2022",1.87
"11","10/22/2022",2.33
"12","10/29/2022",2.35
"13","11/05/2022",2.11
"14","11/12/2022",1.71
"15","11/19/2022",1.39
"16","11/26/2022",1.64
"17","12/03/2022",1.3
"18","12/10/2022",0.73
"19","12/17/2022",1.57
"20","12/24/2022",2.05
"21","12/31/2022",1.48
"22","01/07/2023",0.88
"23","01/14/2023",1.05
"24","01/21/2023",0.71
